id,name,last_msg_id,lang,product_name,desc_len,tone,keywords,stop_words,prod_plus
1150270270,Роман,5171,rus,0,0,0,0,0,0
410439574,Nasti,2518,rus,Кроссовки Adidas Campus 00s,big_paragraph,optimistic_tone,168134443,0,0
592481401,-,6881,rus,0,0,0,0,0,0
767251436,Анна,2627,rus,0,0,0,0,0,0
557461826,Aleksandr,5186,rus,0,0,0,0,0,0
562897023,Abdulzhalil,5848,rus,Леггинсы женские в рубчик теплые,middle_paragraph,optimistic_tone,"леггинсы в рубчик, женские, лосины, черные, утепленные, одежда для фитнеса, повседневная, модная, трендовая, удобная, подойдет для беременных, с начесом, на флисе","утягивающие, меховые, клеш, белые","теплая, на флисе, тянется, не портится после стрики, насыщенный черный цвет, утепленные, пойдут на осень и зиму"
1476754311,Ирина,9036,rus,Магнитные шарики для стирки,middle_paragraph,friendly_tone,"Магнитные
Шарики для стирки",Нет,"Смягчают воду, выбивают грязь из ткани, экономят порошок"
5181380028,Илона,8239,rus,Чехол для ручек кожаный,short_paragraph,friendly_tone,Чехол для ручек,Ручки,Натуральная кожа высокого качества
1192857492,Елена Орешкина | КЭП СК,10670,rus,Свитер,short_paragraph,optimistic_tone,"Мужской, кашемир, Турция, с замком, на молнии, осенний, тёплый, тонкий, классика, молодёжный, с горлом, хлопок, бежевый","Женский, девочки","Не колется, премиальное качество, модный современный дизайн"
389186923,Любовь,8247,rus,0,0,0,0,0,0
1949047304,Mitriy,8290,rus,0,0,0,0,0,0
1235828298,Анна эксперт wb и Ozon,8288,rus,Лип спойлер для автомобиля киа Рио,middle_paragraph,neutral_tone,0,0,0
720506761,Анна,2392,rus,Вафельная бумага,middle_paragraph,friendly_tone,Вафельная пищевая бумага,О,Тонкая
888573070,Кристина,8321,rus,0,0,0,0,0,0
1347722289,Nadezhda,8345,rus,0,0,0,0,0,0
2080989271,­­,2401,rus,Кроссовки,big_paragraph,sympathetic_tone,"кроссовки (228)
обувь женская осень (85)
обувь женская (76)
кроссовки женские черные (48)
кроссовки женские осень (42)
осенняя обувь женская (41)
кросовки (39)
женские кроссовки (25)
обувь осенняя женская (21)
кроссовки черные женские (18)
красовки (15)
женская обувь (14)
женская обувь осень (14)
кроссовки женские осенние (13)
кроссовки осенние женские (13)
кроссовки женские на платформе (13)
обувь на осень женская (12)
кроссовки на платформе (12)
кроссовки для бега (12)
сникерсы женские (11)
кросовки женские (11)
кроссовки детские (10)
кроссовки женские черные осень (9)
ортопедическая обувь женская (9)
кроссовки женские кожаные (9)
кроссовки на высокой подошве (8)
кроссовки кожаные женские (8)
обувь осень женская (8)
кроссовки спортивные женские (7)
обувь женская летняя (7)
кроссы (6)
кроссовки черные (6)
кроссовки высокие женские (6)
кроссовки женские белые (5)
кросы (5)
кроссовки женские для бега (5)
кроссовки на осень (5)
осенняя женская обувь (5)
кроссовки женские спортивные (5)",С,Декоративная шнуровка легкие подходит на любой образ размер в размер на школу свадьба офис прогулка
970095954,Олег,4743,rus,Худи,big_paragraph,neutral_tone,"худи женское мужское оверсайз для девочки мальчика толстовки, свитшоты и с принтом лонгсливы, аниме капюшоном черное твое мужская серое без начеса женская мужские подростка укороченное мужской женский на теплое",Начес,"Плотная ткань
Без начеса
Не мнется
Принт с тиснением 
Удобный капюшон с застежками без завязок
Спущенное плечо
На все времена года"
413416140,Алина,8357,rus,0,0,0,0,0,0
339817795,Наталия,2408,rus,Платье женское миди из атласа с длинными рукавами,short_paragraph,formal_tone,"Платье женское 
Платье вечернее
Платье
Платье женское вечернее
Вечернее платье",Для девочки,"Атлас премиального качества
Нет дешевого блеска
Качественные и ровные швы
Идеальный пошив 
Пуговицы в тон платья"
1080988492,Дания,5188,rus,очки горнолыжные,middle_paragraph,neutral_tone,маска для сноуборда лыж,и,двойная линза; система вентиляции; антифог покрытие; антиблик; регулируемый ремень
5036448546,elen_x,5772,rus,Пакет полиэтиленовый 50* 60см.,middle_paragraph,playful_tone,"Пакет, пакеты, большой пакет, пакет с усиленными ручками, пакет с ручками, пакет белый",Черный,"Пакет большой, усиленные ручки, белый"
832594913,ELENA,8365,rus,0,0,0,0,0,0
368437837,🦋Лесечка🦋,8299,rus,Платье,middle_paragraph,optimistic_tone,"Вязаное
Длинное
С горлом 
Осень
Женское","Свадебное
Вечернее
Летнее
Кружевное
Мини","Оверсайз
Высокое качество 
Универсальное
Теплое"
1212031457,Александр,8372,rus,Рубашка мужская,big_paragraph,friendly_tone,Офис,Женская,Длинный
1145260362,NADIN𓁿,2446,rus,0,0,0,0,0,0
