SourceFile,SourceFileSha1,Reason
C:\Users\Alice Doe\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\AC\#!001\Microsoft\CryptnetUrlCache\Content\6BADA8974A10C4BD62CC921D13E43B18_88614FFAD35D353421B8A7E1FE18FCE4,67147F910D2F30DA26005231C2FDADAC482363B9,Deduped
C:\Users\Alice Doe\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\AC\#!001\Microsoft\CryptnetUrlCache\Content\6BADA8974A10C4BD62CC921D13E43B18_BEB37ABADF39714871232B4792417E04,CF870D02060A4224E722C0CB6F29C574B5A4C85A,Deduped
C:\Users\Alice Doe\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\AC\#!001\Microsoft\CryptnetUrlCache\Content\6BADA8974A10C4BD62CC921D13E43B18_C9FB72B5AE80778A08024D8B0FDECC6F,5433004A6895B765F850163953724886FA41D1DA,Deduped
C:\Users\Alice Doe\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\AC\#!001\Microsoft\CryptnetUrlCache\Content\77EC63BDA74BD0D0E0426DC8F8008506,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Users\Alice Doe\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\AC\#!001\Microsoft\CryptnetUrlCache\Content\B398B80134F72209547439DB21AB308D_9487BC0D4381A7CDEB9A8CC43F66D27C,1823D0D2DD9EBE56F5A1F30C973D4D4EEA39DC2F,Deduped
C:\Users\Alice Doe\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\AC\#!001\Microsoft\CryptnetUrlCache\Content\CC197601BE0898B7B0FCC91FA15D8A69_D79A3DD6590D053E5CEDBD288389833A,E4EF124321EF6F5B424F2FF61260D2202B3D2BC4,Deduped
C:\Users\Alice Doe\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\AC\#!001\Microsoft\CryptnetUrlCache\Content\CFE86DBBE02D859DC92F1E17E0574EE8_46766FC45507C0B9E264E4C18BC7288B,FA66C5898F1359C7A0FA4B36CA5292E12E0A12E2,Deduped
C:\Users\Alice Doe\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\AC\#!001\Microsoft\CryptnetUrlCache\Content\E49827401028F7A0F97B5576C77A26CB_7CE95D8DCA26FE957E7BD7D76F353B08,F71E2C741C6399BBDFDD29E3294BFCA186FED14C,Deduped
C:\Users\Alice Doe\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\AC\#!001\Microsoft\CryptnetUrlCache\Content\FB0D848F74F70BB2EAA93746D24D9749,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Users\Alice Doe\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\AC\#!002\Microsoft\CryptnetUrlCache\Content\07CEF2F654E3ED6050FFC9B6EB844250_BACC6CD2B29F18349081C9FD2343833B,983FC5133E6C5034B66B437F205E7742F21CB5E6,Deduped
