CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2020-06-25 09:27:10.7725807,C:\Windows\system32\Tasks\Microsoft\Windows\Windows Error Reporting\QueueReporting,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\Windows Error Reporting\QueueReporting,4522,253EEA98A54AED9759D5DB87D8DD20B3A2B73240,False,2020-06-10 02:03:44.7387427,2020-06-10 02:03:44.7387427,2020-06-09 18:43:46.4530113,00:00:00.0158460
2020-06-25 09:27:10.8039250,C:\Windows\system32\Tasks\Microsoft\Windows\Windows Filtering Platform\BfeOnServiceStartTypeChange,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\Windows Filtering Platform\BfeOnServiceStartTypeChange,3288,1DBFFBDEF4F420F4790076FFD3F114C074D2440B,False,2020-06-10 02:03:50.2856788,2020-06-10 02:03:50.2856788,2020-06-09 18:43:46.5467111,00:00:00.0152634
2020-06-25 09:27:10.8504344,C:\Windows\system32\Tasks\Microsoft\Windows\Windows Media Sharing\UpdateLibrary,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\Windows Media Sharing\UpdateLibrary,3420,872ED346EA50A0ED6A8D531942561A838AC971CE,False,2020-06-10 02:03:51.4887443,2020-06-10 02:03:51.4887443,2020-06-09 18:43:46.6247193,00:00:00.0154784
2020-06-25 09:27:10.8973384,C:\Windows\system32\Tasks\Microsoft\Windows\WindowsColorSystem\Calibration Loader,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\WindowsColorSystem\Calibration Loader,3164,8C4B4B6F2188D12E32015321FD41A3B4D161F016,False,2020-06-10 02:03:46.2727131,2020-06-10 02:03:46.2727131,2020-06-09 18:43:46.7337914,00:00:00.0156320
2020-06-25 09:27:10.9288072,C:\Windows\system32\Tasks\Microsoft\Windows\WindowsUpdate\Scheduled Start,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\WindowsUpdate\Scheduled Start,5034,74687962F002A35D9113DFB3CE085A659D0791FF,False,2020-06-10 02:03:50.3964782,2020-06-25 08:53:19.2194774,2020-06-25 08:53:19.2194774,00:00:00.0157833
2020-06-25 09:27:10.9911948,C:\Windows\system32\Tasks\Microsoft\Windows\Wininet\CacheTask,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\Wininet\CacheTask,2564,2CE2342DB3FA22D87184FBEEAE4A6F5381638D4E,False,2020-06-10 02:03:46.4262073,2020-06-10 02:03:46.4418791,2020-06-09 18:43:46.8280183,00:00:00.0156736
2020-06-25 09:27:11.0379353,C:\Windows\system32\Tasks\Microsoft\Windows\WlanSvc\CDSSync,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\WlanSvc\CDSSync,2654,D3C6F1599BD5940E31368A4F394A9F7D2142D7BD,False,2020-06-10 02:03:49.8327326,2020-06-10 02:03:49.8327326,2020-06-09 18:43:46.8431708,00:00:00.0154930
2020-06-25 09:27:11.0698337,C:\Windows\system32\Tasks\Microsoft\Windows\WOF\WIM-Hash-Management,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\WOF\WIM-Hash-Management,3060,FBDA7F324EDC29D08F80DC0882422BE6DC56395B,False,2020-06-10 02:03:48.8481285,2020-06-10 02:03:48.8481285,2020-06-09 18:43:46.8744709,00:00:00.0161093
2020-06-25 09:27:11.1007768,C:\Windows\system32\Tasks\Microsoft\Windows\WOF\WIM-Hash-Validation,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\WOF\WIM-Hash-Validation,2794,E4B907603A121F9A5F3CCF85CEDD5923A2DE4276,False,2020-06-10 02:03:51.3168768,2020-06-10 02:03:51.3168768,2020-06-09 18:43:46.8744709,00:00:00.0159631
2020-06-25 09:27:11.1473839,C:\Windows\system32\Tasks\Microsoft\Windows\Work Folders\Work Folders Logon Synchronization,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\Work Folders\Work Folders Logon Synchronization,2790,7DF99E8599D153B71030C7CBBA0B0ABE564E24CC,False,2020-06-10 02:03:46.6294190,2020-06-10 02:03:46.6450055,2020-06-09 18:43:46.9060393,00:00:00.0151763
